id,name,deadline,code,week
145,Gameweek 23 - Day 7,2025-03-30T19:00:00Z,23.7,23
146,Gameweek 24 - Day 1,2025-03-31T22:30:00Z,24.1,24
147,Gameweek 24 - Day 2,2025-04-01T23:00:00Z,24.2,24
148,Gameweek 24 - Day 3,2025-04-02T22:30:00Z,24.3,24
149,Gameweek 24 - Day 4,2025-04-03T22:30:00Z,24.4,24
150,Gameweek 24 - Day 5,2025-04-04T22:30:00Z,24.5,24
151,Gameweek 24 - Day 6,2025-04-05T18:30:00Z,24.6,24
152,Gameweek 24 - Day 7,2025-04-06T16:30:00Z,24.7,24
153,Gameweek 25 - Day 1,2025-04-07T22:30:00Z,25.1,25
154,Gameweek 25 - Day 2,2025-04-08T22:30:00Z,25.2,25
155,Gameweek 25 - Day 3,2025-04-09T22:30:00Z,25.3,25
156,Gameweek 25 - Day 4,2025-04-10T22:30:00Z,25.4,25
157,Gameweek 25 - Day 5,2025-04-11T22:30:00Z,25.5,25
158,Gameweek 25 - Day 6,2025-04-13T16:30:00Z,25.6,25
